ID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
278,3,3,3,5,5,2,4,4,3,4,3,3
279,4,3,3,5,5,1,4,3,2,3,3,3
280,3,3,3,5,3,2,3,3,2,3,3,3
281,3,2,4,4,3,3,3,2,3,1,1,3
282,3,2,3,4,4,2,3,3,3,3,3,3
283,4,5,2,4,4,2,3,4,3,3,3,4
284,5,5,2,4,4,2,3,4,3,3,3,3
285,2,3,3,5,4,2,4,3,2,1,2,4
286,5,5,2,5,5,1,5,5,1,1,1,5
287,5,5,1,4,4,2,3,3,3,2,3,3
288,3,3,3,5,3,2,3,3,2,3,3,3
289,3,3,3,4,4,2,3,3,3,3,3,3
290,3,3,3,4,4,2,3,3,3,3,3,3
291,5,3,2,5,5,1,5,5,1,1,1,5
292,5,5,1,4,4,2,3,3,3,3,2,3
293,5,5,1,5,5,1,3,3,3,3,3,3
294,5,5,1,5,5,1,3,3,3,2,3,3
295,2,4,3,3,3,3,3,3,3,3,3,3
296,5,5,2,4,4,2,3,3,3,3,3,3
297,3,3,3,3,3,3,3,3,3,3,3,3
298,5,5,2,3,4,3,3,3,3,3,1,3
299,2,2,4,4,3,2,3,2,4,3,3,3
300,3,3,3,4,4,3,3,4,3,3,2,3
